,time_stamp,song_id,run_id,genre,artist,dna,dna_artist,url,meta
21,2021-06-10 03:55:41.445563,RFZ81ED1tkdEpu0i_TRWtYc,RFZ81ED1tkdEpu0i,rock,lady gaga,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_ladygaga_rap_prompt6_dur25/level_0/item_3.wav,batch2
22,2021-06-10 03:55:41.525405,RFZ81ED1tkdEpu0i_ySdHkt,RFZ81ED1tkdEpu0i,rock,lady gaga,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_ladygaga_rap_prompt6_dur25/level_0/item_4.wav,batch2
23,2021-06-10 03:55:41.607555,RFZ81ED1tkdEpu0i_C7jQCk,RFZ81ED1tkdEpu0i,rock,lady gaga,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_ladygaga_rap_prompt6_dur25/level_0/item_5.wav,batch2
24,2021-06-10 03:55:41.693480,s59wtv0dwpOkU3Aj_YEH1kj,s59wtv0dwpOkU3Aj,house,the weekend,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_theweekend_house_prompt6_dur25/level_0/item_0.wav,batch2
25,2021-06-10 03:55:41.775633,s59wtv0dwpOkU3Aj_9g0VqY,s59wtv0dwpOkU3Aj,house,the weekend,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_theweekend_house_prompt6_dur25/level_0/item_1.wav,batch2
26,2021-06-10 03:55:41.857439,s59wtv0dwpOkU3Aj_NPxI7P,s59wtv0dwpOkU3Aj,house,the weekend,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_theweekend_house_prompt6_dur25/level_0/item_2.wav,batch2
27,2021-06-10 03:55:41.950309,s59wtv0dwpOkU3Aj_q7jrer,s59wtv0dwpOkU3Aj,house,the weekend,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_theweekend_house_prompt6_dur25/level_0/item_3.wav,batch2
28,2021-06-10 03:55:42.031254,s59wtv0dwpOkU3Aj_m0XgBD,s59wtv0dwpOkU3Aj,house,the weekend,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_theweekend_house_prompt6_dur25/level_0/item_4.wav,batch2
29,2021-06-10 03:55:42.111483,s59wtv0dwpOkU3Aj_l4wDh4,s59wtv0dwpOkU3Aj,house,the weekend,we_found.wav,sunny fruit,http://matlaberp2.media.mit.edu:8000/outputs/5/we_found_theweekend_house_prompt6_dur25/level_0/item_5.wav,batch2
30,2021-06-10 03:55:42.191335,RM6uxrsEzNi3sVse_LavKnX,RM6uxrsEzNi3sVse,electronic,justin bieber,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_justinbieber_electronic_prompt6_dur25/level_0/item_0.wav,batch2
